
time,npos,epos,alt,phi,theta,psi,vel,alpha,beta,p,q,r,nx,ny,nz,mach,qbar,ps,

 0.00000, 0.00000, 0.00000,15000.00000, 0.00000, 4.53071, 0.00000,500.00000, 4.53071, 0.00000, 0.00000, 0.00000, 0.00000, 0.07898,-0.01317, 0.99668, 0.47339,187.31921,1193.18672,2109.41287,-2.24415,-0.09358, 0.09447,
 0.10000,50.00000,-0.00211,14999.99997, 0.00017, 4.53071,-0.00004,500.00000, 4.53078,-0.00475, 0.00512, 0.00004,-0.00122, 0.07898,-0.01293, 0.99668, 0.47339,187.31921,1193.18672,2109.41287,-2.24415,-0.09358, 0.09447,
 0.20000,100.00000,-0.00837,14999.99987, 0.00128, 4.53072,-0.00032,500.00001, 4.53087,-0.00911, 0.01855, 0.00014,-0.00461, 0.07898,-0.01270, 0.99668, 0.47339,187.31922,1193.18673,2109.41287,-2.24415,-0.09358, 0.09447,
 0.30000,150.00000,-0.01871,14999.99971, 0.00398, 4.53074,-0.00103,500.00002, 4.53096,-0.01282, 0.03742, 0.00029,-0.00988, 0.07898,-0.01252, 0.99668, 0.47339,187.31923,1193.18673,2109.41287,-2.24415,-0.09358, 0.09447,
 0.40000,200.00000,-0.03306,14999.99949, 0.00869, 4.53078,-0.00235,500.00004, 4.53107,-0.01567, 0.05898, 0.00046,-0.01664, 0.07898,-0.01238, 0.99669, 0.47339,187.31924,1193.18674,2109.41287,-2.24415,-0.09358, 0.09447,
 0.50000,250.00000,-0.05134,14999.99922, 0.01552, 4.53083,-0.00440,500.00005, 4.53119,-0.01755, 0.08073, 0.00064,-0.02441, 0.07898,-0.01229, 0.99671, 0.47339,187.31925,1193.18676,2109.41287,-2.24415,-0.09358, 0.09447,
 0.60000,300.00000,-0.07349,14999.99889, 0.02438, 4.53091,-0.00726,500.00006, 4.53132,-0.01838, 0.10049, 0.00081,-0.03267, 0.07898,-0.01225, 0.99673, 0.47339,187.31926,1193.18677,2109.41287,-2.24415,-0.09358, 0.09447,
 0.70000,350.00000,-0.09944,14999.99851, 0.03498, 4.53100,-0.01095,500.00007, 4.53146,-0.01818, 0.11649, 0.00094,-0.04088, 0.07899,-0.01227, 0.99676, 0.47339,187.31927,1193.18679,2109.41287,-2.24415,-0.09358, 0.09447,
 0.80000,400.00000,-0.12915,14999.99810, 0.04686, 4.53110,-0.01545,500.00006, 4.53160,-0.01702, 0.12743, 0.00102,-0.04858, 0.07899,-0.01234, 0.99679, 0.47339,187.31927,1193.18681,2109.41287,-2.24415,-0.09358, 0.09447,
 0.90000,450.00000,-0.16257,14999.99767, 0.05950, 4.53121,-0.02067,500.00005, 4.53173,-0.01504, 0.13250, 0.00104,-0.05531, 0.07899,-0.01245, 0.99682, 0.47339,187.31927,1193.18683,2109.41287,-2.24415,-0.09358, 0.09447,
